Theta	Offset	RA-SDSS	DEC-SDSS	PosErr-SDSS	RA-Galaxies	DEC-Galaxies	PosErr-Galaxies
 0.5	0.06	  151.545150	   11.100456	  6.00	  151.545080	   11.100580	  6.00
 0.0	0.00	  202.987240	   13.517113	  6.00	  202.987240	   13.517110	  6.00
 0.1	0.01	  217.934030	    6.158152	  6.00	  217.934040	    6.158140	  6.00
 0.0	0.00	  164.898470	   14.735499	  6.00	  164.898470	   14.735500	  6.00
 0.0	0.00	  167.727140	    9.621829	  6.00	  167.727140	    9.621829	  6.00
 0.0	0.00	  146.482860	    5.049546	  6.00	  146.482850	    5.049550	  6.00
 0.0	0.00	  222.909490	    9.061211	  6.00	  222.909490	    9.061211	  6.00
 0.1	0.01	  213.300200	   13.975878	  6.00	  213.300210	   13.975890	  6.00
 0.0	0.00	  213.347920	   13.078885	  6.00	  213.347920	   13.078890	  6.00
 0.0	0.00	  138.956090	    9.647359	  6.00	  138.956080	    9.647360	  6.00
 0.0	0.00	  220.875110	    7.786796	  6.00	  220.875110	    7.786800	  6.00
 0.0	0.00	  210.624250	   10.708100	  6.00	  210.624250	   10.708100	  6.00
 0.1	0.01	  165.154690	    4.065302	  6.00	  165.154670	    4.065310	  6.00
 0.1	0.01	  169.100570	    5.731327	  6.00	  169.100550	    5.731320	  6.00
 0.0	0.00	  161.129210	   13.711198	  6.00	  161.129210	   13.711200	  6.00
 0.0	0.00	  236.612950	    8.656906	  6.00	  236.612950	    8.656910	  6.00
 0.0	0.00	  177.770070	    5.246204	  6.00	  177.770080	    5.246210	  6.00
 0.0	0.00	  216.933640	   13.441846	  6.00	  216.933640	   13.441846	  6.00
 0.0	0.00	  207.094830	    8.211609	  6.00	  207.094830	    8.211610	  6.00
 0.1	0.01	  170.347610	    6.667120	  6.00	  170.347620	    6.667110	  6.00
 0.1	0.01	  165.079720	    6.241577	  6.00	  165.079710	    6.241560	  6.00
 0.0	0.00	  223.226160	   13.300253	  6.00	  223.226160	   13.300253	  6.00
 0.0	0.00	  169.338180	   15.954064	  6.00	  169.338180	   15.954064	  6.00
 0.0	0.00	  210.823990	   10.061209	  6.00	  210.823990	   10.061210	  6.00
 0.0	0.00	  173.575680	   15.595950	  6.00	  173.575680	   15.595950	  6.00
 0.0	0.00	  208.059150	    8.923884	  6.00	  208.059150	    8.923880	  6.00
 0.0	0.00	  218.220100	    5.999063	  6.00	  218.220100	    5.999060	  6.00
 0.2	0.02	  194.237890	    4.064887	  6.00	  194.237880	    4.064830	  6.00
 0.0	0.00	  211.228080	   12.704690	  6.00	  211.228080	   12.704690	  6.00
 0.0	0.00	  129.601360	   14.055668	  6.00	  129.601360	   14.055668	  6.00
 0.4	0.05	  170.685380	   13.345386	  6.00	  170.685470	   13.345310	  6.00
 0.0	0.00	  138.124770	   12.586585	  6.00	  138.124770	   12.586585	  6.00
 3.9	0.46	  157.200410	    4.233660	  6.00	  157.200300	    4.234750	  6.00
 0.0	0.00	  149.049900	   15.700877	  6.00	  149.049900	   15.700877	  6.00
 0.0	0.00	  206.344000	   11.369717	  6.00	  206.344000	   11.369720	  6.00
 0.1	0.01	  197.448850	    4.249889	  6.00	  197.448870	    4.249880	  6.00
 0.0	0.00	  178.433400	    7.792419	  6.00	  178.433400	    7.792420	  6.00
 0.2	0.02	  135.750300	    5.806526	  6.00	  135.750270	    5.806560	  6.00
 0.1	0.01	  175.461020	   15.973749	  6.00	  175.461000	   15.973750	  6.00
 0.0	0.00	  231.483700	   11.410364	  6.00	  231.483700	   11.410364	  6.00
 0.1	0.01	  145.474600	   11.654520	  6.00	  145.474580	   11.654530	  6.00
 0.0	0.00	  119.614760	   11.027424	  6.00	  119.614760	   11.027424	  6.00
 0.0	0.00	  171.534570	    4.062364	  6.00	  171.534580	    4.062360	  6.00
 0.0	0.00	  243.532910	   10.732959	  6.00	  243.532910	   10.732959	  6.00
 0.2	0.03	  168.219550	    7.921958	  6.00	  168.219590	    7.921910	  6.00
 0.0	0.00	  220.329930	    7.792996	  6.00	  220.329930	    7.792996	  6.00
 0.0	0.00	  171.795560	    8.731027	  6.00	  171.795560	    8.731027	  6.00
